параметр,значение,ед.,справка ($M по курсу 90 ₽/$)
Компонента LCC: NRE,10800,млн ₽,120.0 $M
Компонента LCC: Серия 300 КА (бус+ПН+ISL),29851,млн ₽,331.7 $M
Компонента LCC: Атомные часы (РФ),1500,млн ₽,16.7 $M
Компонента LCC: Запуски,27000,млн ₽,300.0 $M
Компонента LCC: Наземный сегмент,7200,млн ₽,80.0 $M
Компонента LCC: OPEX × 7 лет,25200,млн ₽,280.0 $M
LCC всего (7 лет),101551,млн ₽,1128 $M
LCC всего (7 лет),101.55,млрд ₽,
LCC всего (15 лет),130351,млн ₽,1448 $M
LCC всего (15 лет),130.35,млрд ₽,
Серия 300 КА (повтор.),29851,млн ₽,332 $M
Стоимость на 1 КА (7 лет),339,млн ₽,3.76 $M
Стоимость в год (7 лет),14507,млн ₽/год,161 $M/год

Допущение,значение,ед.,
NRE_design_qual_Mrub,10800.0,,
recurring_T1_Mrub,292.0,,
atomic_clock_block_Mrub,5.0,,
learning_b,0.85,,
n_launches,25,,
launch_cost_per_Mrub,1080.0,,
ground_capex_Mrub,7200.0,,
opex_per_year_Mrub,3600.0,,
