station,lat_deg,lon_deg
Москва,55.8,37.6
Санкт-Петербург,59.9,30.3
Новосибирск,55.0,82.9
Екатеринбург,56.8,60.6
Хабаровск,48.5,135.1
Владивосток,43.1,131.9
Якутск,62.0,129.7
Калининград,54.7,20.5
Петропавловск,53.0,158.7
Улан-Удэ,51.8,107.6
Норильск,69.3,88.2
Диксон,73.5,80.5
Тикси,71.6,128.9
Билибино,68.1,166.4
Мурманск,68.9,33.1
Архангельск,64.5,40.5
Краснодар,45.0,38.9
Новороссийск,44.7,37.8
Иркутск,52.3,104.3
Омск,54.9,73.4
Красноярск,56.0,92.8

metric,value
coverage_radius_km,2842.8
mcs21_lon_coverage_pct,54.7
mcs21_od_geometry_pct,40.5
arcs_per_day_21,33
